Country,covCases,covDeaths,airQual,percentEducation,GDP,avgInc,landlocked,waterlocked,popDens
Sierra Leone,829.00,45.00,22.00,4.60,3775047334.00,15879.61,0.00,0.00,111.00
Singapore,34366.00,23.00,19.00,2.90,323907234412.00,32360.00,0.00,1.00,8240.00
Sint Maarten,77.00,15.00,,,1394000000.00,68958.00,0.00,0.00,1261.00
Slovakia,1521.00,28.00,16.10,3.90,95617670260.00,17415.00,1.00,0.00,111.00
Slovenia,1473.00,108.00,16.00,4.80,48769655479.00,25969.00,0.00,0.00,103.00
Solomon Islands,0.00,0.00,12.00,7.30,1303453622.00,84240.00,0.00,1.00,24.00
Somalia,1689.00,66.00,32.00,  ,4721000000.00,39112.00,0.00,0.00,25.00
South Africa,29240.00,611.00,21.60,6.20,348871647960.00,5217.00,0.00,0.00,49.00
South Korea,11441.00,269.00,24.80,5.10,1530750923149.00,40861.00,0.00,0.00,512.00
South Sudan,994.00,10.00,46.00,1.00,12000000000.00,58507.00,1.00,0.00,18.00
Spain,285644.00,27121.00,9.70,4.20,1314314164402.00,21959.00,0.00,0.00,92.00
Sri Lanka,1563.00,10.00,25.20,2.80,87357205923.00,3242.00,0.00,1.00,326.00
Sudan,4521.00,233.00,55.00,2.20,117487857143.00,3640.00,0.00,0.00,23.00
Suriname,12.00,1.00,25.00,  ,2995827901.00,16323.00,0.00,0.00,4.00
Swaziland,279.00,2.00,17.00,7.10,4711000000.00,4001.00,0.00,0.00,67.00
Sweden,37113.00,4395.00,6.60,7.70,535607385506.00,50514.00,0.00,0.00,22.00
Switzerland,30845.00,1919.00,10.90,5.10,678965423322.00,202734.00,1.00,0.00,210.00
Syria,122.00,4.00,32.20,5.10,40410000000.00,8193.00,0.00,0.00,95.00
Taiwan,442.00,7.00,17.20,,586104000000.00,32762.00,0.00,0.00,658.00
Tajikistan,3686.00,47.00,46.00,5.20,7146449583.00,5137.00,1.00,0.00,67.00
Tanzania,509.00,21.00,29.00,3.40,53320625959.00,2154.00,0.00,0.00,63.00
Thailand,3077.00,57.00,24.30,4.10,455302682986.00,7029.00,0.00,0.00,136.00
Timor Leste,24.00,0.00,19.00,3.80,2954621000.00,61438.00,0.00,0.00,89.00
Togo,428.00,13.00,36.00,5.00,4757776485.00,571.00,0.00,1.00,146.00
Tokelau,0.00,0.00,,,10000000.00,2500.00,0.00,0.00,113.00
Tonga,0.00,0.00,11.00,3.90,427659795.00,19491.00,0.00,0.00,141.00
Trinidad And Tobago,116.00,8.00,24.00,3.10,22079017627.00,28106.00,0.00,1.00,273.00
Tunisia,1071.00,48.00,38.00,6.60,39952095561.00,16487.00,0.00,0.00,72.00
Turkey,162120.00,4489.00,20.60,4.40,851549299635.00,8955.00,0.00,0.00,108.00
Turkmenistan,0.00,0.00,22.00,3.00,37926285714.00,41908.00,1.00,0.00,12.00
Turks And Caicos Islands,12.00,1.00,,,1022000000.00,18000.00,0.00,1.00,41.00
Tuvalu,0.00,0.00,,3.70,39731317.00,3000.00,0.00,1.00,454.00
Uganda,317.00,0.00,29.10,2.60,25995031850.00,1775.00,1.00,0.00,189.00
Ukraine,23204.00,696.00,16.60,5.40,112154185121.00,11074.00,0.00,0.00,72.00
United Arab Emirates,33170.00,260.00,38.90,1.30,382575085092.00,75360.00,0.00,0.00,118.00
United Kingdom,27122.00,38161.00,10.50,5.50,2637866340434.00,31617.00,0.00,1.00,279.00
United States ,1794153.00,104550.00,9.00,5.00,19485394000000.00,43585.00,0.00,0.00,35.00
United States Virgin Islands,69.00,6.00,3.50,,3855000000.00,49516.00,0.00,1.00,301.00
Uruguay,816.00,22.00,9.30,4.90,56156972158.00,7949.00,0.00,0.00,19.00
Uzbekistan,3468.00,14.00,41.20,6.30,49677172714.00,235.00,1.00,0.00,75.00
Vanuatu,0.00,0.00,12.00,4.70,862879789.00,108817.00,0.00,1.00,25.00
Vatican City,12.00,0.00,,,21000000.00,39806.00,1.00,0.00,1820.00
Venezuela,1325.00,11.00,17.00,3.60,482400000000.00,26.00,0.00,0.00,31.00
Vietnam,328.00,0.00,34.10,4.30,223779865815.00,4783.00,0.00,0.00,294.00
Wallis And Futuna,0.00,0.00,,,60000000.00,12640.00,0.00,1.00,79.00
Western Sahara,9.00,1.00,,,908900000.00,12898.00,0.00,0.00,2.00
Yemen,283.00,65.00,50.00,5.20,31267675216.00,3178.00,0.00,0.00,56.00
Zambia,1057.00,7.00,27.00,1.30,25868142073.00,1501.00,1.00,0.00,24.00
Zimbabwe,149.00,4.00,22.00,6.10,22040902300.00,23005.00,1.00,0.00,38.00
